Sink Caller,Sink
java.io.ObjectOutputStream_writeFatalException_java.io.IOException.meth,java.io.ObjectOutputStream_writeObject0_java.lang.Object_boolean
java.io.ObjectOutputStream_writeFields.meth,java.io.ObjectOutputStream$PutFieldImpl_writeFields
java.io.ObjectOutputStream_writeObject_java.lang.Object.meth,java.io.ObjectOutputStream_writeObject0_java.lang.Object_boolean
java.security.Provider_put_java.lang.Object_java.lang.Object.meth,sun.security.util.Debug_println_java.lang.String

