Lib Caller, Lib Name
java.util.HashMap_hash_java.lang.Object.meth,java.lang.Object_native_hashCode
java.lang.Object_clinit.meth,java.lang.Object_native_registerNatives
java.lang.Error_init.meth,java.lang.Throwable_init
java.util.Arrays_copyOf_char_arr_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.lang.String_getChars_int_int_char_arr_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_getChars_int_int_char_arr_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_getChars_int_int_char_arr_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_getChars_int_int_char_arr_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.util.Arrays_copyOfRange_char_arr_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.Arrays_copyOfRange_char_arr_int_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.HashMap_init_int_float.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.lang.AbstractStringBuilder_append_float.meth,sun.misc.FloatingDecimal_appendTo_float_java.lang.Appendable
java.util.HashMap_init_int_float.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.WeakHashMap_expungeStaleEntries.meth,java.lang.ref.ReferenceQueue_poll
java.util.Random$RandomIntsSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
java.util.Random_nextInt_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.Random_next_int.meth,java.util.concurrent.atomic.AtomicLong_get
java.util.Random_next_int.meth,java.util.concurrent.atomic.AtomicLong_compareAndSet_long_long
java.util.Random$RandomIntsSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.util.function.IntConsumer_accept_int
java.util.Spliterators$IntIteratorSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.lang.NullPointerException_init
