ApplicationName; JavaLOC; ByteCodeLOC; #meths_in_dir; #meths_in_all_meths_file; #nb_meths; #Jisymb Errors; Analysis; %Total Processed Meths (Neither Excluded by User nor Skipped by Syrs); %Successfully Summarized by Syrs(Not Skipped by Syrs); #nb_excluded_meths_by_user; #nb_ignored_by_syrs; #nb_skipped_by_syrs; #nb_total_skipped_ignored_by_syrs; conditionally_insecure_methods_count;#Unsat Guards; #Secure; #updating_methods; Total Accounted Time; Total Effective Time; Clock Time ; Average Method Analysis Time; Wall clock time (analysis); System time (analysis); User time (analysis); Max memory (analysis); Exit status (analysis); 
JavaAPI-io; 0; 35,554; 1,923; 1,918; 1,918; 300;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_; 89.00; 89.00; 0; 211; 0; 211; 297; 104; 1,410; 950; 2588.000; 2543.000; 24735756.000; 1.349
JavaAPI-io; 0; 35,554; 1,923; 1,918; 1,906; 300;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_; 99.32; 99.95; 12; 1; 0; 13; 87; 3; 1,818; 1,078; 1010.000; 1009.000; 1327427.000; 0.530
JavaAPI-util1; 0; 32,690; 1,622; 1,621; 1,371; 170;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_; 77.24; 91.32; 250; 119; 0; 369; 160; 54; 1,092; 714; 1795.000; 1788.000; 16633762.000; 1.309
JavaAPI-util1; 0; 32,690; 1,622; 1,620; 1,620; 170;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_; 100.00; 100.00; 0; 0; 0; 0; 6; 0; 1,614; 955; 845.800; 845.800; 959069.000; 0.522
JavaAPI-util2; 0; 31,937; 1,695; 1,693; 1,693; 252;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_; 81.63; 81.63; 0; 311; 0; 311; 160; 134; 1,222; 824; 3943.000; 3894.000; 37375624.000; 2.329
JavaAPI-util2; 0; 31,937; 1,695; 1,693; 1,693; 252;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_; 99.94; 99.94; 0; 1; 0; 1; 37; 14; 1,655; 982; 978.100; 978.000; 1299741.000; 0.578

