methodID;algoId;nb_prims;nb_refs;nb_stms;total_time;nb_symb_heap_typ_vars;nb_symb_heap_mut_refs;nb_symb_heap_const_refs;nb_symb_heap_mut_rel_vars;nb_symb_heap_const_rel_vars;nb_scfg_locations;nb_scfg_transitions;nb_scfg_variables;nb_scfg_state_variables;nb_scfg_input_variables;nb_scfg_contr_variables;max_scfg_in_degree;max_scfg_out_degree;model_instantiation_time;support_size;scfg_generation_time;synthesis_time;triangularization_time;summarization;unsat_guard;true_guard
java.util.Collections$UnmodifiableList$1_next.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;6386.0;3;2;1;12;0;4;3;52;42;2;8;1;1;15750;3;3181;2874;331;done;false;false
java.io.File_setWritable_boolean_boolean.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;5;10;10297.0;4;3;1;4;0;13;16;37;31;2;4;2;2;19750;5;1671;8476;150;done;true;false
java.io.File_renameTo_java.io.File.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;8;18;1037119.0;7;5;2;17;1;21;28;80;70;2;8;3;4;46600;9;7726;1028000;1393;done;true;false
java.nio.Buffer_remaining.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;4;2;8;5696.0;1;0;1;1;0;10;11;22;16;2;4;2;2;15640;3;1304;4246;146;done;false;true
java.io.ObjectInputStream_access$1100_java.io.ObjectInputStream.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;1759.0;1;0;1;1;0;3;2;14;9;2;3;1;1;3170;3;1169;503;87;done;false;true
java.util.LinkedHashMap$LinkedKeySet_size.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;2630.0;2;1;1;4;0;4;3;26;20;2;4;1;1;15769;3;1754;767;109;done;false;true
java.util.IdentityHashMap$EntrySet_iterator.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;4;6473.0;3;2;1;9;0;5;4;44;35;2;7;1;1;15180;3;3234;3001;238;done;false;false
java.lang.Boolean_compare_boolean_boolean.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;3;1;8;3438.0;0;0;0;0;0;10;13;12;8;2;2;3;3;15570;2;397;2933;108;done;false;true
java.io.StringReader_close.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;1617.0;1;0;1;1;0;3;2;14;9;2;3;1;1;3148;3;1072;448;97;done;false;true
java.text.BreakIterator$BreakIteratorCache_createBreakInstance.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;5;4;4805.0;4;3;1;12;0;5;4;51;43;2;6;1;1;15550;3;2588;1982;235;done;false;true
java.io.File_readObject_java.io.ObjectInputStream.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;6;11;19;2.1678686E7;10;8;2;60;0;21;22;175;166;2;7;2;2;180400;8;17430;21660000;1256;done;false;false
java.util.TreeMap$AscendingSubMap$AscendingEntrySetView_iterator.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;8;8;33394.0;7;6;1;53;0;9;8;144;135;2;7;1;1;19740;3;18280;14570;544;done;true;false
java.util.HashMap$TreeNode_init_int_java.lang.Object_java.lang.Object_java.util.HashMap$Node.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;5;2;114390.0;4;0;4;16;6;3;2;124;87;2;35;1;1;50260;31;17290;45110;51990;done;false;true
java.util.Formatter$Flags_toString.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;9;14;41;22680.0;13;12;1;55;0;51;68;171;165;2;4;2;2;0;0;22680;0;0;skipped;null;null
java.util.JumboEnumSet_iterator.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;4941.0;2;1;1;4;0;4;3;31;22;2;7;1;1;14980;3;2377;1840;724;done;false;true
java.nio.CharBuffer_put_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;4;3;14572.0;3;1;2;10;0;4;3;61;45;2;14;1;1;16410;8;3090;9611;1871;done;false;true
java.util.Formatter$FormatSpecifier_checkDateTime.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;7;19;43;24780.0;18;17;1;132;0;45;52;336;331;2;3;4;5;0;0;24780;0;0;skipped;null;null
java.util.WeakHashMap$Entry_getValue.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;3389.0;2;1;1;5;0;3;2;35;25;2;8;1;1;16610;3;1933;1188;268;done;false;true
java.util.HashMap_putVal_int_java.lang.Object_java.lang.Object_boolean_boolean.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;19;19;72;308200.0;18;15;3;443;3;78;113;1015;989;2;24;7;12;0;0;308200;0;0;skipped;null;null
java.io.BufferedWriter_newLine.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;2591.0;2;1;1;4;0;4;3;23;18;2;3;1;1;14890;3;1288;1202;101;done;false;false
java.util.Formatter_toString.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;4;5903.0;3;2;1;9;0;5;4;44;35;2;7;1;1;15290;3;2502;3179;222;done;false;false
java.io.ObjectInputStream_readFields.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;9;19;1.59827296E8;8;7;1;58;0;22;25;160;151;2;7;2;2;208900;3;25630;159800000;1674;done;false;false
java.io.PrintWriter_init_java.nio.charset.Charset_java.io.File.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;7;8;65879.0;6;3;3;36;0;9;8;137;113;2;22;1;1;22180;15;12990;47400;5489;done;false;false
java.io.File_getAbsolutePath.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;2639.0;3;2;1;4;0;4;3;34;25;2;7;1;1;15880;3;616;1591;432;done;false;true
java.util.EnumMap_access$200_java.util.EnumMap.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;2000.0;1;0;1;1;0;3;2;17;11;2;4;1;1;14720;3;1134;562;304;done;false;true
java.io.DataInputStream_skipBytes_int.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;8;3;13;12462.0;2;1;1;5;0;15;18;39;33;2;4;3;3;8157;4;2580;9722;160;done;false;true
java.util.Hashtable_remove_java.lang.Object.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;10;10;32;52260.0;9;7;2;107;1;35;42;287;270;2;15;3;4;0;0;52260;0;0;skipped;null;null
java.text.StringCharacterIterator_init_java.lang.String.meth;r1_res2__impl_-except_ashare_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;7897.0;2;0;2;4;0;3;2;45;29;2;14;1;1;15830;8;493;6103;1301;done;false;true
