methodID;algoId;nb_prims;nb_refs;nb_stms;total_time;nb_symb_heap_typ_vars;nb_symb_heap_mut_refs;nb_symb_heap_const_refs;nb_symb_heap_mut_rel_vars;nb_symb_heap_const_rel_vars;nb_scfg_locations;nb_scfg_transitions;nb_scfg_variables;nb_scfg_state_variables;nb_scfg_input_variables;nb_scfg_contr_variables;max_scfg_in_degree;max_scfg_out_degree;model_instantiation_time;support_size;scfg_generation_time;synthesis_time;triangularization_time;summarization;unsat_guard;true_guard
java.util.ServiceLoader$LazyIterator_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;10;12;13681.0;9;8;1;0;0;14;15;40;34;2;4;2;2;20200;2;4860;8676;145;done;false;true
java.lang.Math_floorDiv_long_long.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;7;1;9;3651.0;0;0;0;0;0;11;14;16;12;2;2;3;3;15720;2;433;3105;113;done;false;true
java.util.IdentityHashMap_unmaskNull_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;6;3819.0;3;2;1;0;0;8;9;22;16;2;4;2;2;15840;2;387;3303;129;done;false;true
java.io.ObjectOutputStream$BlockDataOutputStream_drain.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;4;13;9694.0;3;2;1;0;0;16;19;22;18;2;2;2;2;16740;2;1500;8077;117;done;false;false
java.nio.Buffer_flip.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;5;1292.0;1;0;1;0;0;6;5;15;9;2;4;1;1;14690;2;140;1028;124;done;false;true
java.lang.Integer_valueOf_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;4;10;5805.0;3;3;0;0;0;12;15;23;18;2;3;2;3;16970;1;1181;4506;118;done;false;true
java.util.Scanner_hasNext.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;5;2;13;8486.0;1;0;1;0;0;15;18;19;14;2;3;2;3;16060;2;1172;7171;143;done;false;true
java.util.Spliterators_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;5;13;660.0;4;4;0;0;0;14;13;17;14;2;1;1;1;15200;0;426;157;77;done;false;true
java.util.AbstractMap$SimpleEntry_getValue.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;812.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14740;2;124;579;109;done;false;true
java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet_iterator.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1389.0;2;1;1;0;0;4;3;17;11;2;4;1;1;4066;2;449;832;108;done;false;true
java.io.File_list.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;876.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14750;2;158;617;101;done;false;true
java.util.ArrayList_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;5;335.0;2;2;0;0;0;6;5;11;8;2;1;1;1;14650;0;155;129;51;done;false;true
java.text.DateFormatSymbols_getWeekdays.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;6;6;4152.0;5;4;1;0;0;7;6;27;21;2;4;1;1;15180;2;2350;1683;119;done;false;true
java.io.FileReader_init_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;4;2906.0;3;1;2;0;0;5;4;22;15;2;5;1;1;14820;4;1096;1658;152;done;false;true
java.util.SubList_size.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;3;865.0;1;0;1;0;0;4;3;13;8;2;3;1;1;14820;2;132;638;95;done;false;true
java.util.AbstractMap$1_iterator.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1391.0;2;1;1;0;0;4;3;17;11;2;4;1;1;4066;2;448;837;106;done;false;true
javax.security.auth.Subject_isReadOnly.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;1299.0;1;0;1;0;0;3;2;13;8;2;3;1;1;17130;2;255;887;157;done;false;true
java.util.TreeMap_access$200.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;758.0;1;1;0;0;0;3;2;12;7;2;3;1;1;3299;0;117;565;76;done;false;true
java.util.ArrayList_hugeCapacity_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;2;9;4066.0;1;1;0;0;0;12;15;14;10;2;2;2;2;16270;1;560;3393;113;done;false;true
java.util.AbstractMap$2$1_hasNext.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;1034.0;2;1;1;0;0;4;3;16;11;2;3;1;1;14750;2;337;610;87;done;false;true
java.util.Formatter$FormatSpecifier_getZero_java.util.Locale.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;7;11;13096.0;6;4;2;0;0;13;16;34;28;2;4;2;3;18860;4;4272;8660;164;done;false;true
java.lang.Long_toUnsignedString0_long_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;8;3;11;2672.0;2;2;0;0;0;12;11;23;18;2;3;1;1;15360;2;381;2181;110;done;false;true
java.io.PrintWriter_print_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;5;2990.0;3;1;2;0;0;7;8;20;15;2;3;2;2;15699;4;1097;1796;97;done;false;false
java.nio.file.attribute.FileTime_toDays.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;6;11;8323.0;5;4;1;0;0;13;14;30;25;2;3;2;2;17400;2;1185;6999;139;done;false;true
java.lang.CharacterData_isOtherUppercase_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;1;648.0;1;0;1;0;0;2;1;13;8;2;3;1;1;14420;3;90;481;77;done;false;true
java.lang.Character_isBmpCodePoint_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;1;6;1760.0;0;0;0;0;0;8;9;12;8;2;2;2;2;15580;1;222;1454;84;done;false;true
java.text.AttributedString_valuesMatch_java.lang.Object_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;3;8;9517.0;2;0;2;0;0;11;14;21;15;2;4;2;2;16640;4;2840;6514;163;done;false;true
java.util.ArrayList$SubList$1_checkForComodification.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;5;9;5050.0;4;3;1;0;0;11;12;23;19;2;2;2;2;16480;2;1848;3098;104;done;false;true
java.lang.Error_init_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;932.0;2;0;2;0;0;3;2;19;12;2;5;1;1;14640;4;160;622;150;done;false;true
java.util.LinkedList$ListItr_hasNext.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;3;8;4338.0;2;1;1;0;0;10;11;20;15;2;3;2;2;15760;2;1149;3067;122;done;false;true
java.util.TreeMap$NavigableSubMap_absLowFence.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;7;14;10585.0;6;5;1;0;0;16;19;33;27;2;4;3;3;18840;2;2782;7648;155;done;false;true
java.util.ArrayList$Itr_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;8;20;29076.0;7;6;1;0;0;22;25;38;32;2;4;3;3;20780;2;4793;24080;203;done;false;true
java.lang.Error_init_java.lang.Throwable.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;932.0;2;0;2;0;0;3;2;19;12;2;5;1;1;14650;4;142;645;145;done;false;true
java.util.Collections$ReverseComparator_compare_java.lang.Object_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;6;4;1744.0;5;2;3;0;0;5;4;29;22;2;5;1;1;15170;6;470;895;379;done;false;true
java.util.Vector_add_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;6;4;12;4396.0;3;1;2;0;0;13;12;26;20;2;4;1;1;15470;4;1206;3055;135;done;false;true
java.io.FilterInputStream_init_java.io.InputStream.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1183.0;2;0;2;0;0;4;3;19;12;2;5;1;1;14680;4;150;881;152;done;false;true
java.util.EnumMap$EnumMapIterator_checkLastReturnedIndex.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;6;3026.0;2;1;1;0;0;8;9;16;12;2;2;2;2;15769;2;507;2420;99;done;false;true
java.util.HashSet_size.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;1132.0;2;1;1;0;0;4;3;16;11;2;3;1;1;14610;2;436;605;91;done;false;true
java.util.Calendar_init_java.util.TimeZone_java.util.Locale.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;7;14;7242.0;6;3;3;0;0;15;14;33;25;2;6;1;1;15860;6;2186;4274;782;done;false;true
java.lang.Character_toUpperCaseCharArray_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;4;10;6253.0;3;3;0;0;0;12;15;23;18;2;3;2;3;16270;1;1178;4951;124;done;false;true
java.util.Formatter$FormatSpecifier_justify_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;7;8;27;87901.0;7;5;2;0;0;31;40;43;36;2;5;3;3;23980;4;4137;83460;304;done;false;true
java.io.Writer_append_char.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;2;738.0;2;1;1;0;0;3;2;18;12;2;4;1;1;14720;3;158;482;98;done;false;true
java.lang.StringBuilder_append_double.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;710.0;1;0;1;0;0;3;2;15;9;2;4;1;1;14630;3;120;481;109;done;false;true
java.util.Formatter$Flags_access$100_java.util.Formatter$Flags_java.util.Formatter$Flags.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;2;1067.0;3;1;2;0;0;3;2;22;15;2;5;1;1;15699;4;160;756;151;done;false;true
java.io.Console_flush.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1977.0;2;1;1;0;0;4;3;13;9;2;2;1;1;14650;2;441;1459;77;done;false;false
java.lang.AbstractStringBuilder_append_java.lang.CharSequence.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;2;1019.0;3;1;2;0;0;3;2;22;15;2;5;1;1;14690;4;176;700;143;done;false;true
java.util.HashMap_treeifyBin_java.util.HashMap$Node_arr_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;6;9;28;73001.0;8;6;2;0;0;32;43;41;36;2;3;4;5;27140;5;9450;62490;1061;done;false;true
java.util.Hashtable_access$500_java.util.Hashtable.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;672.0;1;0;1;0;0;3;2;13;8;2;3;1;1;14510;2;108;474;90;done;false;true
java.util.Hashtable$KeySet_clear.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1962.0;2;1;1;0;0;4;3;13;9;2;2;1;1;15440;2;428;1455;79;done;false;false
java.util.IdentityHashMap$KeyIterator_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;5;5;3615.0;4;3;1;0;0;6;5;24;18;2;4;1;1;14870;2;1115;2381;119;done;false;true
java.util.ServiceLoader_access$500_java.util.ServiceLoader.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;2011.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14530;2;401;1494;116;done;false;true
java.util.Collections$UnmodifiableMap_get_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;5;3;1440.0;4;2;2;0;0;4;3;25;18;2;5;1;1;15729;4;429;886;125;done;false;true
java.nio.file.FileTreeWalker$DirectoryNode_directory.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;924.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14650;2;224;591;109;done;false;true
java.lang.Integer_compareTo_java.lang.Integer.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;3;4;1808.0;2;0;2;0;0;5;4;20;14;2;4;1;1;14710;4;145;901;762;done;false;true
java.util.TreeMap_clear.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;2;6;1764.0;1;0;1;0;0;7;6;12;8;2;2;1;1;15090;2;158;1512;94;done;false;true
java.util.Collections$CheckedMap$CheckedEntrySet$1_remove.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;915.0;2;1;1;0;0;4;3;13;9;2;2;1;1;3235;2;345;503;67;done;false;true
java.util.Arrays_fill_int_arr_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;2;7;2854.0;1;0;1;0;0;9;10;15;11;2;2;3;2;15540;3;357;2401;96;done;false;true
java.nio.file.Files$2_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;860.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14640;2;229;534;97;done;false;true
java.util.ServiceLoader$1_hasNext.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;5;8;5955.0;4;3;1;0;0;10;11;25;20;2;3;2;2;17450;2;2047;3789;119;done;false;true
java.util.Vector$Itr_init_java.util.Vector_java.util.Vector$1.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;2;2245.0;3;0;3;0;0;3;2;24;16;2;6;1;1;14820;6;1313;716;216;done;false;true
java.util.Collections$EmptyIterator_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;4;304.0;1;1;0;0;0;5;4;8;5;2;1;1;1;14660;0;133;119;52;done;false;true
java.io.File_isFile.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;5;15;12599.0;4;3;1;0;0;19;24;27;22;2;3;2;2;17590;2;1576;10860;163;done;false;true
java.lang.SecurityManager_checkSecurityAccess_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;4;1671.0;3;1;2;0;0;5;4;18;13;2;3;1;1;14780;4;237;704;730;done;false;true
java.nio.CharBuffer_append_java.lang.CharSequence.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;2;905.0;3;1;2;0;0;3;2;22;15;2;5;1;1;14700;4;180;612;113;done;false;true
java.util.Formatter_nonNullAppendable_java.lang.Appendable.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;5;4521.0;2;1;1;0;0;7;8;19;13;2;4;2;2;15580;2;301;3554;666;done;false;true
java.nio.charset.CharsetDecoder_implReset.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;1;609.0;1;0;1;0;0;2;1;10;6;2;2;1;1;14470;2;87;305;217;done;false;true
java.util.Calendar_setTime_java.util.Date.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;2048.0;2;0;2;0;0;4;3;16;11;2;3;1;1;14590;4;1219;743;86;done;false;true
java.util.WeakHashMap$HashIterator_remove.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;9;21;15826.0;8;7;1;0;0;23;26;36;32;2;2;3;3;9961;2;4551;11100;175;done;false;true
java.text.BreakIterator_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;4;318.0;2;2;0;0;0;5;4;11;8;2;1;1;1;14630;0;136;127;55;done;false;true
java.util.WeakHashMap$KeyIterator_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;1671.0;3;2;1;0;0;4;3;20;14;2;4;1;1;16430;2;655;906;110;done;false;true
java.util.AbstractMap_clear.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;1247.0;2;1;1;0;0;4;3;13;9;2;2;1;1;15150;2;667;513;67;done;false;true
java.util.Collections$CheckedCollection_size.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;1040.0;2;1;1;0;0;4;3;16;11;2;3;1;1;14710;2;351;601;88;done;false;true
java.lang.String_subSequence_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;3;2;973.0;2;1;1;0;0;3;2;19;13;2;4;1;1;14820;4;156;698;119;done;false;true
java.util.Base64$DecInputStream_close.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;6;2916.0;2;1;1;0;0;8;9;16;12;2;2;2;2;15780;2;479;2345;92;done;false;true
java.io.Writer_init.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;3;934.0;1;0;1;0;0;4;3;14;8;2;4;1;1;14720;2;137;690;107;done;false;true
java.text.RuleBasedCollationKey_compareTo_java.text.CollationKey.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;7;10;7454.0;6;4;2;0;0;12;15;32;26;2;4;3;3;18290;4;1351;5409;694;done;false;true
java.io.ByteArrayOutputStream_write_byte_arr_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;11;5;21;14478.0;4;2;2;0;0;23;30;34;29;2;3;4;5;19770;6;2714;11590;174;done;false;true
java.util.Collections$SynchronizedCollection_init_java.util.Collection_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;7;7;4288.0;6;3;3;0;0;8;7;33;25;2;6;1;1;15760;6;406;3697;185;done;false;true
java.io.BufferedReader_init_java.io.Reader.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;1165.0;2;0;2;0;0;4;3;20;13;2;5;1;1;3368;4;159;871;135;done;false;true
java.io.ByteArrayInputStream_read.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;6;3;12;5671.0;2;1;1;0;0;14;15;23;18;2;3;2;2;5106;2;556;4986;129;done;false;true
java.util.Collections$UnmodifiableNavigableSet_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;4;307.0;1;1;0;0;0;5;4;8;5;2;1;1;1;14620;0;136;120;51;done;false;true
java.util.Formatter$FormatSpecifier_leadingSign_java.lang.StringBuilder_boolean.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;9;21;18061.0;8;6;2;0;0;23;30;43;36;2;5;5;5;23530;5;3669;14160;232;done;false;true
java.util.HashMap_get_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;6;8;6607.0;5;3;2;0;0;10;11;31;24;2;5;2;2;16940;4;1497;4944;166;done;false;true
java.util.TreeMap$Entry_getKey.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;833.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14950;2;140;589;104;done;false;true
java.util.Random$RandomDoublesSpliterator_tryAdvance_java.util.function.DoubleConsumer.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;7;5;17;14609.0;4;2;2;0;0;19;22;32;26;2;4;3;3;18530;4;2578;11840;191;done;false;true
java.util.Calendar_set_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;7;4;19;11816.0;3;2;1;0;0;22;27;25;21;2;2;3;3;18050;4;1812;9343;661;done;false;true
java.util.Calendar_set_int_int_int_int_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;6;2;7;2186.0;1;0;1;0;0;8;7;16;12;2;2;1;1;14830;8;230;1861;95;done;false;true
java.util.LinkedList$LLSpliterator_getEst.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;5;17;12943.0;4;3;1;0;0;19;22;27;22;2;3;3;3;17610;2;2508;10280;155;done;false;true
java.io.Bits_putFloat_byte_arr_int_float.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;2;3;756.0;1;0;1;0;0;4;3;13;9;2;2;1;1;14700;4;136;549;71;done;false;true
java.io.ObjectInputStream$BlockDataInputStream_readUnsignedShort.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;10;6;22;16492.0;5;4;1;0;0;24;27;36;31;2;3;2;3;19500;2;3389;12920;183;done;false;true
java.util.Collections$EmptyIterator_next.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;996.0;2;1;1;0;0;4;3;17;11;2;4;1;1;14590;2;168;731;97;done;false;true
java.lang.Double_doubleValue.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;2;2;679.0;1;0;1;0;0;3;2;13;8;2;3;1;1;14540;2;108;484;87;done;false;true
java.util.Formatter$FormatSpecifier_checkText.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;14;21;55;116375.0;20;19;1;0;0;57;75;83;79;2;2;7;10;61230;2;14310;101700;365;done;false;true
java.util.Formatter_clinit.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;3;410.0;1;1;0;0;0;4;3;8;5;2;1;1;1;14410;0;127;237;46;done;false;true
java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator_init_java.util.TreeMap$NavigableSubMap_java.util.TreeMap$Entry_java.util.TreeMap$Entry.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;5;3;3831.0;4;0;4;0;0;4;3;29;20;2;7;1;1;14820;8;2746;915;170;done;false;true
java.util.Formatter$FormatSpecifier_printFloat_java.lang.Object_java.util.Locale.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;6;7;23;16109.0;6;3;3;0;0;25;32;37;31;2;4;5;5;10500;6;3412;12410;287;done;false;true
java.lang.SecurityManager_checkDelete_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;4;1754.0;3;1;2;0;0;5;4;18;13;2;3;1;1;14830;4;238;701;815;done;false;true
java.io.File_listFiles_java.io.FilenameFilter.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;12;24;80658.0;11;9;2;0;0;28;35;52;45;2;5;3;3;29250;4;9675;70680;303;done;false;true
java.util.TreeMap$ValueSpliterator_tryAdvance_java.util.function.Consumer.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;3;11;25;62649.0;10;8;2;0;0;28;37;46;40;2;4;4;5;18490;4;9160;53220;269;done;false;true
java.util.Collections$CheckedMap_put_java.lang.Object_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;6;4;2293.0;5;2;3;0;0;5;4;30;22;2;6;1;1;15799;6;513;1652;128;done;false;false
java.io.File_exists.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;4;5;15;12820.0;4;3;1;0;0;19;24;27;22;2;3;2;2;6127;2;1591;11070;159;done;false;true
java.io.ObjectOutputStream$HandleTable_clear.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;4;7;2725.0;3;2;1;0;0;8;7;17;13;2;2;1;1;15180;2;1485;1156;84;done;false;true
java.util.SubList_iterator.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;2;2033.0;2;1;1;0;0;3;2;17;11;2;4;1;1;14690;2;433;1491;109;done;false;true
java.lang.String_equalsIgnoreCase_java.lang.String.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;5;6;17;15989.0;5;3;2;0;0;19;26;33;27;2;4;3;5;20150;4;1957;13290;742;done;false;true
java.util.WeakHashMap_eq_java.lang.Object_java.lang.Object.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;3;7;7262.0;2;0;2;0;0;9;12;21;15;2;4;2;3;4646;4;2737;4380;145;done;false;true
java.lang.String_lastIndexOf_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;7;3;14;14254.0;2;1;1;0;0;16;21;24;19;2;3;3;4;17100;4;1299;12810;145;done;false;true
java.io.FilterOutputStream_flush.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;3;3;911.0;2;1;1;0;0;4;3;13;9;2;2;1;1;14830;2;204;635;72;done;false;false
java.io.PushbackInputStream_markSupported.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;1;659.0;1;0;1;0;0;2;1;12;7;2;3;1;1;14550;2;90;491;78;done;false;true
java.nio.StringCharBuffer_subSequence_int_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;2;3;2;773.0;2;1;1;0;0;3;2;19;13;2;4;1;1;15000;4;134;537;102;done;false;true
java.util.Hashtable$EntrySet_iterator.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;4;3;2594.0;3;2;1;0;0;4;3;20;14;2;4;1;1;14720;2;1263;1227;104;done;false;true
java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator_remove.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;2;777.0;1;0;1;0;0;3;2;10;6;2;2;1;1;14840;2;135;569;73;done;false;true
java.nio.charset.CoderResult_malformedForLength_int.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;1;3;3;944.0;2;2;0;0;0;4;3;16;11;2;3;1;1;14710;1;241;622;81;done;false;true
java.io.StringReader_markSupported.meth;r1_res2__impl_-except_dumb_300_-dr_t=3mm_cudd=8GiBGiB_;0;2;1;674.0;1;0;1;0;0;2;1;12;7;2;3;1;1;14830;2;95;501;78;done;false;true
