Lib Caller, Lib Name
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.lang.String_init_char_arr_int_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.util.Arrays_copyOfRange_char_arr_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.Arrays_copyOfRange_char_arr_int_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.AbstractList_rangeCheckForAdd_int.meth,java.lang.IndexOutOfBoundsException_init_java.lang.String
java.util.Collections$UnmodifiableCollection_init_java.util.Collection.meth,java.lang.NullPointerException_init
java.util.Collections$UnmodifiableMap_init_java.util.Map.meth,java.lang.NullPointerException_init
java.util.LinkedList_checkPositionIndex_int.meth,java.lang.IndexOutOfBoundsException_init_java.lang.String
java.lang.String_charAt_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.nio.charset.Charset_clinit.meth,sun.nio.cs.StandardCharsets_init
java.nio.charset.Charset_clinit.meth,java.lang.ThreadLocal_init
java.lang.Float_floatToIntBits_float.meth,java.lang.Float_native_floatToRawIntBits_float
java.util.Date_getMillisOf_java.util.Date.meth,sun.util.calendar.CalendarDate_isNormalized
java.util.Date_getMillisOf_java.util.Date.meth,sun.util.calendar.CalendarDate_clone
java.util.Date_getMillisOf_java.util.Date.meth,sun.util.calendar.AbstractCalendar_getTime_sun.util.calendar.CalendarDate
java.util.Date_clinit.meth,sun.util.calendar.CalendarSystem_getGregorianCalendar
java.util.Calendar_clone.meth,java.lang.Object_native_clone
java.util.TimeZone_clone.meth,java.lang.Object_native_clone
java.lang.Error_init_java.lang.Throwable.meth,java.lang.Throwable_init_java.lang.Throwable
java.lang.Error_init_java.lang.String.meth,java.lang.Throwable_init_java.lang.String
java.lang.AssertionError_init_java.lang.Object.meth,java.lang.Throwable_initCause_java.lang.Throwable
java.nio.file.attribute.FileTime_toInstant.meth,java.time.Instant_ofEpochSecond_long_long
java.nio.file.attribute.FileTime_compareTo_java.nio.file.attribute.FileTime.meth,java.time.Instant_getEpochSecond
java.nio.file.attribute.FileTime_compareTo_java.nio.file.attribute.FileTime.meth,java.time.Instant_getEpochSecond
java.nio.file.attribute.FileTime_compareTo_java.nio.file.attribute.FileTime.meth,java.time.Instant_getNano
java.nio.file.attribute.FileTime_compareTo_java.nio.file.attribute.FileTime.meth,java.time.Instant_getNano
java.nio.file.attribute.FileTime_toDays.meth,java.util.concurrent.TimeUnit_toDays_long
java.nio.file.attribute.FileTime_toDays.meth,java.time.Instant_getEpochSecond
java.nio.file.attribute.FileTime_toDays.meth,java.util.concurrent.TimeUnit_toDays_long
java.nio.file.attribute.FileTime_toExcessNanos_long.meth,java.util.concurrent.TimeUnit_convert_long_java.util.concurrent.TimeUnit
java.nio.file.attribute.FileTime_toExcessNanos_long.meth,java.util.concurrent.TimeUnit_toNanos_long
java.nio.file.attribute.FileTime_toExcessNanos_long.meth,java.time.Instant_getEpochSecond
java.nio.file.attribute.FileTime_toExcessNanos_long.meth,java.util.concurrent.TimeUnit_toSeconds_long
java.nio.file.attribute.FileTime_toExcessNanos_long.meth,java.util.concurrent.TimeUnit_toNanos_long
java.text.Collator_clinit.meth,java.util.concurrent.ConcurrentHashMap_init
java.util.WeakHashMap$HashIterator_hasNext.meth,java.lang.ref.Reference_get
java.util.ServiceLoader$LazyIterator_hasNext.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction_java.security.AccessControlContext
java.io.BufferedReader$1_hasNext.meth,java.io.UncheckedIOException_init_java.io.IOException
java.nio.file.FileTreeIterator_hasNext.meth,java.lang.IllegalStateException_init
java.util.Scanner_ensureOpen.meth,java.lang.IllegalStateException_init_java.lang.String
java.util.Scanner_hasTokenInBuffer.meth,java.util.regex.Matcher_usePattern_java.util.regex.Pattern
java.util.Scanner_hasTokenInBuffer.meth,java.util.regex.Matcher_region_int_int
java.util.Scanner_hasTokenInBuffer.meth,java.util.regex.Matcher_lookingAt
java.util.Scanner_hasTokenInBuffer.meth,java.util.regex.Matcher_end
java.nio.Buffer_position_int.meth,java.lang.IllegalArgumentException_init
java.nio.CharBuffer_allocate_int.meth,java.lang.IllegalArgumentException_init
java.nio.Buffer_init_int_int_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.nio.Buffer_limit_int.meth,java.lang.IllegalArgumentException_init
java.nio.Buffer_init_int_int_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.lang.IllegalArgumentException_init
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.nio.ReadOnlyBufferException_init
java.nio.CharBuffer_put_java.nio.CharBuffer.meth,java.nio.BufferOverflowException_init
java.util.Scanner_makeSpace.meth,java.util.regex.Matcher_reset_java.lang.CharSequence
java.nio.Buffer_checkBounds_int_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.nio.CharBuffer_put_char_arr_int_int.meth,java.nio.BufferOverflowException_init
java.util.ArrayList$SubList$1_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.ArrayList$SubList$1_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$SubList$1_next.meth,java.util.ConcurrentModificationException_init
java.util.LinkedList$ListItr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.LinkedList$ListItr_next.meth,java.util.NoSuchElementException_init
java.util.SubList$1_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$Itr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.ArrayList$Itr_next.meth,java.util.NoSuchElementException_init
java.util.ArrayList$Itr_next.meth,java.util.ConcurrentModificationException_init
java.util.IdentityHashMap$IdentityHashMapIterator_nextIndex.meth,java.util.ConcurrentModificationException_init
java.util.IdentityHashMap$IdentityHashMapIterator_nextIndex.meth,java.util.NoSuchElementException_init
java.util.Collections$1_next.meth,java.util.NoSuchElementException_init
java.util.Collections$EmptyIterator_next.meth,java.util.NoSuchElementException_init
java.util.LinkedHashMap$LinkedHashIterator_nextNode.meth,java.util.ConcurrentModificationException_init
java.util.LinkedHashMap$LinkedHashIterator_nextNode.meth,java.util.NoSuchElementException_init
java.util.HashMap$HashIterator_nextNode.meth,java.util.ConcurrentModificationException_init
java.util.HashMap$HashIterator_nextNode.meth,java.util.NoSuchElementException_init
java.util.AbstractList$Itr_checkForComodification.meth,java.util.ConcurrentModificationException_init
java.util.AbstractList$Itr_next.meth,java.util.NoSuchElementException_init
java.util.Spliterators$1Adapter_next.meth,java.util.NoSuchElementException_init
java.util.Hashtable$Enumerator_next.meth,java.util.ConcurrentModificationException_init
java.util.Hashtable$Enumerator_nextElement.meth,java.util.NoSuchElementException_init_java.lang.String
java.util.WeakHashMap$HashIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.WeakHashMap$HashIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.WeakHashMap$Entry_getKey.meth,java.lang.ref.Reference_get
java.util.ServiceLoader$LazyIterator_next.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction_java.security.AccessControlContext
java.util.LinkedList$ListItr_previous.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$PrivateEntryIterator_prevEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$PrivateEntryIterator_prevEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_nextEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_nextEntry.meth,java.util.ConcurrentModificationException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_prevEntry.meth,java.util.NoSuchElementException_init
java.util.TreeMap$NavigableSubMap$SubMapIterator_prevEntry.meth,java.util.ConcurrentModificationException_init
java.util.EnumMap$ValueIterator_next.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque$DescendingIterator_next.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque$DescendingIterator_next.meth,java.util.ConcurrentModificationException_init
java.util.ArrayDeque$DeqIterator_next.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque$DeqIterator_next.meth,java.util.ConcurrentModificationException_init
