Lib Caller, Lib Name
java.lang.StringCoding_deref_java.lang.ThreadLocal.meth,java.lang.ref.SoftReference_get
java.lang.StringCoding_clinit.meth,java.lang.ThreadLocal_init
java.lang.StringCoding_clinit.meth,java.lang.ThreadLocal_init
java.lang.StringCoding_decode_java.lang.String_byte_arr_int_int.meth,java.lang.StringCoding$StringDecoder_charsetName
java.nio.charset.Charset_lookup_java.lang.String.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,sun.misc.VM_isBooted
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,java.lang.ThreadLocal_get
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,java.lang.ThreadLocal_set_java.lang.Object
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,java.lang.ThreadLocal_set_java.lang.Object
java.nio.charset.Charset_lookupViaProviders_java.lang.String.meth,java.lang.ThreadLocal_set_java.lang.Object
java.nio.charset.Charset_atBugLevel_java.lang.String.meth,sun.misc.VM_isBooted
java.nio.charset.Charset_atBugLevel_java.lang.String.meth,sun.security.action.GetPropertyAction_init_java.lang.String_java.lang.String
java.nio.charset.Charset_atBugLevel_java.lang.String.meth,java.security.AccessController_native_doPrivileged_java.security.PrivilegedAction
java.nio.charset.Charset_checkName_java.lang.String.meth,java.nio.charset.IllegalCharsetNameException_init_java.lang.String
java.lang.String_charAt_int.meth,java.lang.StringIndexOutOfBoundsException_init_int
java.nio.charset.Charset_checkName_java.lang.String.meth,java.nio.charset.IllegalCharsetNameException_init_java.lang.String
java.nio.charset.Charset_forName_java.lang.String.meth,java.nio.charset.UnsupportedCharsetException_init_java.lang.String
java.lang.Error_init_java.lang.Throwable.meth,java.lang.Throwable_init_java.lang.Throwable
java.lang.StringCoding_decode_java.lang.String_byte_arr_int_int.meth,java.io.UnsupportedEncodingException_init_java.lang.String
java.lang.StringCoding_set_java.lang.ThreadLocal_java.lang.Object.meth,java.lang.ref.SoftReference_init_java.lang.Object
java.lang.StringCoding_set_java.lang.ThreadLocal_java.lang.Object.meth,java.lang.ThreadLocal_set_java.lang.Object
java.lang.StringCoding$StringDecoder_decode_byte_arr_int_int.meth,sun.nio.cs.ArrayDecoder_decode_byte_arr_int_int_char_arr
java.lang.StringCoding_safeTrim_char_arr_int_java.nio.charset.Charset_boolean.meth,java.lang.System_getSecurityManager
java.nio.Buffer_init_int_int_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.nio.Buffer_limit_int.meth,java.lang.IllegalArgumentException_init
java.nio.Buffer_position_int.meth,java.lang.IllegalArgumentException_init
java.nio.Buffer_init_int_int_int_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.nio.ByteBuffer_wrap_byte_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.nio.CharBuffer_wrap_char_arr_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.nio.charset.CharsetDecoder_throwIllegalStateException_int_int.meth,java.lang.IllegalStateException_init_java.lang.String
java.nio.charset.CharsetDecoder_decode_java.nio.ByteBuffer_java.nio.CharBuffer_boolean.meth,java.nio.charset.CoderMalfunctionError_init_java.lang.Exception
java.nio.charset.CharsetDecoder_decode_java.nio.ByteBuffer_java.nio.CharBuffer_boolean.meth,java.nio.charset.CoderMalfunctionError_init_java.lang.Exception
java.lang.AssertionError_init_java.lang.Object.meth,java.lang.Throwable_initCause_java.lang.Throwable
java.nio.Buffer_checkBounds_int_int_int.meth,java.lang.IndexOutOfBoundsException_init
java.nio.CharBuffer_put_java.lang.String_int_int.meth,java.nio.ReadOnlyBufferException_init
java.nio.CharBuffer_put_java.lang.String_int_int.meth,java.nio.BufferOverflowException_init
java.nio.charset.CoderResult_length.meth,java.lang.UnsupportedOperationException_init
java.nio.charset.CoderResult_throwException.meth,java.nio.BufferUnderflowException_init
